Track Name,Artist,Album,Release Date,Popularity,Streams,Rank,Platform,Source,Updated At
Millionaire,Yo Yo Honey Singh,Glory,2024-08-26,78,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Tera Chehra,Arijit Singh,Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06,77,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Tainu Khabar Nahi - From ""Munjya""",Sachin-Jigar,"Tainu Khabar Nahi (From ""Munjya"")",2024-05-31,76,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Tenu Sang Rakhna,Achint,Jigra,2024-10-15,67,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Loveyapa Ho Gaya - From ""Loveyapa""",Nakash Aziz,"Loveyapa Ho Gaya (From ""Loveyapa"")",2025-01-03,51,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Sanam Teri Kasam,Ankit Tiwari,Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06,78,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Kheech Meri Photo,Neeti Mohan,Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06,63,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Bhool Bhulaiyaa 3 - Title Track,Pitbull,Bhool Bhulaiyaa 3,2024-10-23,50,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Nain Matakka - From ""Baby John""",Thaman S,"Nain Matakka (From ""Baby John"")",2024-11-25,65,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Jaanam (From ""Bad Newz"")",Vishal Mishra,"Jaanam (From ""Bad Newz"")",2024-07-09,71,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Chaleya (From ""Jawan"")",Anirudh Ravichander,"Chaleya (From ""Jawan"")",2023-08-14,70,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Tere Pyaar Mein,Pritam,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",2023-02-01,75,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Apna Bana Le,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),2022-11-22,74,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",Aditya Rikhari,"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",2024-10-22,76,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,92,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),2021-07-09,80,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Popular (Music from the HBO Original Series),2023-06-02,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Diet Mountain Dew,Lana Del Rey,Born To Die - The Paradise Edition,2012-01-01,78,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Starboy,The Weeknd,Starboy,2016-11-25,89,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Bekaar Dil,Vishal-Shekhar,Fighter,2024-01-23,52,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",Mika Singh,"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",2024-05-01,59,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Mere Mehboob Mere Sanam (From ""Bad Newz"")",Udit Narayan,"Mere Mehboob Mere Sanam (From ""Bad Newz"")",2024-07-13,69,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Makhna - From ""Drive""",Yasser Desai,"Makhna (From ""Drive"")",2019-10-03,68,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Cheques,Shubh,Still Rollin,2023-05-19,75,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Paint The Town Red,Doja Cat,Scarlet,2023-09-20,76,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
BLUE,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,98,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,82,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
West Coast,Lana Del Rey,Ultraviolence (Deluxe),2014-01-01,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Dramamine,Flawed Mangoes,Dramamine / Fragility,2024-04-10,55,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Die For You,The Weeknd,Starboy,2016-11-24,86,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Kesariya (From ""Brahmastra"")",Pritam,"Kesariya (From ""Brahmastra"")",2022-07-17,72,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Doobey (From ""Gehraiyaan"")",OAFF,"Doobey (From ""Gehraiyaan"")",2022-01-24,56,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Ik Vaari Aa (From ""Raabta"")",Pritam,"Ik Vaari Aa (From ""Raabta"")",2017-04-21,64,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Kinni Kinni,Diljit Dosanjh,Ghost,2023-09-29,74,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Thehra,Chaar Diwaari,Thehra,2024-03-21,43,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Udd Gaye,Ritviz,Ved,2019-07-01,60,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Jiya,Shaheen Bhatt,Jigra,2024-10-15,42,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Congratulations,Post Malone,Stoney (Deluxe),2016-12-09,80,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
She Knows (feat. Amber Coffman & Cults),J. Cole,Born Sinner (Deluxe Version),2013-06-18,76,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Wake Me Up (feat. Justice),The Weeknd,Hurry Up Tomorrow,2025-01-31,80,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,No Strings Attached,2000-03-21,82,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Cry For Me,The Weeknd,Hurry Up Tomorrow,2025-01-31,89,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,2022-12-02,82,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),2022-08-25,80,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Strangers,Kenya Grace,Strangers,2023-09-01,78,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Ghost,Justin Bieber,Justice,2021-03-19,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Agora Hills,Doja Cat,Scarlet,2023-09-20,76,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
After Hours,The Weeknd,After Hours,2020-03-20,82,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"O Maahi (From ""Dunki"")",Pritam,"O Maahi (From ""Dunki"")",2023-12-11,71,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Lutt Putt Gaya (From ""Dunki"")",Pritam,"Lutt Putt Gaya (From ""Dunki"")",2023-11-22,66,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
Dil Jhoom,Mithoon,Gadar 2 (Original Motion Picture Soundtrack),2023-08-05,70,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:43
"Jaane Tu (From ""Chhaava"")",A.R. Rahman,"Jaane Tu (From ""Chhaava"")",2025-01-31,70,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Rang (From ""Sky Force"")",Tanishk Bagchi,"Rang (From ""Sky Force"")",2025-01-17,65,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Ahista Ahista,Kazinama,Ahista Ahista,2024-09-02,75,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Silsila - From ""Dhoom Dhaam""",Arijit Singh,"Silsila (From ""Dhoom Dhaam"")",2025-01-30,63,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Obsessed,Riar Saab,Obsessed,2022-09-29,66,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Maan Meri Jaan,King,Champagne Talk,2022-09-13,73,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Time Traveller,M.I.A.,MATA,2022-10-14,52,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Perfect,Ed Sheeran,÷ (Deluxe),2017-03-03,88,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
As It Was,Harry Styles,Harry's House,2022-05-20,88,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Anti-Hero,Taylor Swift,Midnights (3am Edition),2022-10-22,60,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,2015-08-28,81,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Stargirl Interlude,The Weeknd,Starboy,2016-11-25,74,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Double Fantasy (with Future),The Weeknd,Double Fantasy,2023-04-21,70,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Save Your Tears,The Weeknd,After Hours,2020-03-20,85,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Co2,Prateek Kuhad,The Way That Lovers Do (Deluxe),2023-05-19,45,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
The Hills,The Weeknd,Beauty Behind The Madness,2015-08-28,86,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Mamushi (feat. Yuki Chiba),Megan Thee Stallion,MEGAN,2024-06-28,77,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
cardigan,Taylor Swift,folklore,2020-07-24,84,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
End of Beginning,Djo,DECIDE,2022-09-16,89,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Sweater Weather,The Neighbourhood,I Love You.,2013-04-22,90,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,86,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Kill Bill,SZA,SOS,2022-12-08,86,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Woman,Doja Cat,Planet Her,2021-06-25,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
A&W,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023-03-24,69,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Ric Flair Drip (with Metro Boomin),Offset,Without Warning,2017-10-30,82,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Mask Off,Future,FUTURE,2017-06-30,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
K-POP,Travis Scott,K-POP,2023-07-21,70,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,85,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,86,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Dancing In The Flames,The Weeknd,Dancing In The Flames,2024-09-13,80,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Moth To A Flame (with The Weeknd),Swedish House Mafia,Dawn FM (Alternate World),2022-01-07,59,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Paisaa,Kushal Grumpy,Paisaa,2023-10-17,56,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
we fell in love in october,girl in red,we fell in love in october / October Passed Me By,2018-11-21,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,1994-10-28,75,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",Shreya Ghoshal,"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",2024-05-29,67,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",Shankarr Babu Kandukoori,"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",2024-12-01,70,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Chuttamalle (From ""Devara Part 1"")",Shilpa Rao,"Chuttamalle (From ""Devara Part 1"")",2024-08-05,77,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Mumbai Hustle - From ""Call Me Bae""",Shravan Mantri,Call Me Bae (Original Series Soundtrack),2024-09-01,30,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Ruaan (From ""Tiger 3"")",Pritam,"Ruaan (From ""Tiger 3"")",2023-11-06,63,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Pasoori,Shae Gill,Pasoori,2022-02-07,69,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Hua Main (From ""ANIMAL"")",Raghav Chaitanya,"Hua Main (From ""ANIMAL"")",2023-10-11,69,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Dil Se Dil Tak (From ""Bawaal"")",Akashdeep Sengupta,"Dil Se Dil Tak (From ""Bawaal"")",2023-07-14,71,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Choo Lo,The Local Train,Aalas Ka Pedh,2015-09-25,72,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Mohammad Faiz,Mr. And Mrs. Mahi (Original Motion Picture Soundtrack),2024-05-24,69,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Mahiye Jinna Sohna,Darshan Raval,Mahiye Jinna Sohna,2023-06-22,67,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Heeriye (feat. Arijit Singh),Jasleen Royal,Heeriye (feat. Arijit Singh),2023-07-25,75,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Baaki Baatein Peene Baad (Shots) (feat. Badshah),Arjun Kanungo,Baaki Baatein Peene Baad (Shots) (feat. Badshah),2015-09-25,58,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Ve Haaniyaan,Danny,Ve Haaniyaan,2024-01-19,73,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-12,64,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Satranga (From ""ANIMAL"")",Arijit Singh,"Satranga (From ""ANIMAL"")",2023-10-27,78,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Pehle Bhi Main,Vishal Mishra,ANIMAL,2023-11-24,76,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Timi Nacha Na,Wangden Sherpa,Timi Nacha Na,2023-10-20,51,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Naina (From ""Crew"")",Diljit Dosanjh,"Naina (From ""Crew"")",2024-03-05,76,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Raghav,"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-29,68,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Tanishk Bagchi,"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-12,66,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-02-02,78,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Sher Khul Gaye (From ""Fighter"")",Vishal-Shekhar,"Sher Khul Gaye (From ""Fighter"")",2023-12-15,57,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Ishq Jaisa Kuch (From ""Fighter"")",Vishal-Shekhar,"Ishq Jaisa Kuch (From ""Fighter"")",2023-12-22,59,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Bujji Theme (From ""Kalki 2898 AD"")",Santhosh Narayanan,"Bujji Theme (From ""Kalki 2898 AD"")",2024-05-27,50,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Theme Of Kalki (From ""Kalki 2898 AD"") (Telugu)",Kala Bhairava,"Theme Of Kalki (From ""Kalki 2898 AD"") (Telugu)",2024-06-25,55,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Bhairava Anthem (From ""Kalki 2898 Ad"") (Hindi)",Diljit Dosanjh,"Bhairava Anthem (From ""Kalki 2898 Ad"") (Hindi)",2024-06-16,41,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Simroon Tera Naam (From ""Yaariyan 2"")",Manan Bhardwaj,"Simroon Tera Naam (From ""Yaariyan 2"")",2023-09-06,57,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Pasoori Nu,Arijit Singh,Satyaprem Ki Katha,2023-07-01,36,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Jalebi Baby,Tesher,Jalebi Baby,2020-11-13,68,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Dil Nu,AP Dhillon,Two Hearts Never Break The Same,2022-10-07,73,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Not Ramaiya Vastavaiya,Anirudh Ravichander,Jawan,2023-09-05,53,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",2022-12-12,70,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Love Stereo Again,Edward Maya,Love Stereo Again,2023-07-21,47,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Naseeb Se,Payal Dev,Satyaprem Ki Katha,2023-07-01,38,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Paisa Hai Toh,Sachin-Jigar,Farzi (Original Series Soundtrack),2023-01-26,62,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Jhoome Jo Pathaan,Vishal-Shekhar,Pathaan,2022-12-22,66,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022-11-20,5,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Unholy (feat. Kim Petras),Sam Smith,Unholy (feat. Kim Petras),2022-09-22,78,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Arcade,Duncan Laurence,Arcade,2019-03-07,75,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Makeba,Jain,Zanaka,2016-10-21,67,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Shinunoga E-Wa,Fujii Kaze,HELP EVER HURT NEVER,2020-05-20,77,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
lovely (with Khalid),Billie Eilish,lovely (with Khalid),2018-04-19,87,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
golden hour,JVKE,this is what falling in love feels like (554Hz),2022-10-03,76,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,Until I Found You (Em Beihold Version),2022-04-22,80,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Call Out My Name,The Weeknd,"My Dear Melancholy,",2018-03-30,85,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
I Was Never There,The Weeknd,"My Dear Melancholy,",2018-03-30,83,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Bones,Imagine Dragons,Mercury - Acts 1 & 2,2022-07-01,81,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
Bloody Mary,Lady Gaga,Born This Way (International Special Edition Version),2011-05-23,76,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
"Tum Tum (From ""Enemy"")",Thaman S,"Tum Tum (From ""Enemy - Tamil"")",2021-09-03,0,N/A,N/A,Spotify,Spotify,2025-03-24 17:34:44
