Track Name,Artist,Album,Release Date,Popularity,Streams,Rank,Platform,Source,Updated At
"Loveyapa Ho Gaya - From ""Loveyapa""",Nakash Aziz,"Loveyapa Ho Gaya (From ""Loveyapa"")",2025-01-03,51,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Sanam Teri Kasam,Ankit Tiwari,Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06,78,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Kheech Meri Photo,Neeti Mohan,Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06,63,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Bhool Bhulaiyaa 3 - Title Track,Pitbull,Bhool Bhulaiyaa 3,2024-10-23,50,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Nain Matakka - From ""Baby John""",Thaman S,"Nain Matakka (From ""Baby John"")",2024-11-25,65,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Jaanam (From ""Bad Newz"")",Vishal Mishra,"Jaanam (From ""Bad Newz"")",2024-07-09,71,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Chaleya (From ""Jawan"")",Anirudh Ravichander,"Chaleya (From ""Jawan"")",2023-08-14,70,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Tere Pyaar Mein,Pritam,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",2023-02-01,75,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Apna Bana Le,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),2022-11-22,74,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",Aditya Rikhari,"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",2024-10-22,76,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Diet Mountain Dew,Lana Del Rey,Born To Die - The Paradise Edition,2012-01-01,78,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Bekaar Dil,Vishal-Shekhar,Fighter,2024-01-23,52,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [Hindi]",Mika Singh,"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",2024-05-01,59,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Mere Mehboob Mere Sanam (From ""Bad Newz"")",Udit Narayan,"Mere Mehboob Mere Sanam (From ""Bad Newz"")",2024-07-13,69,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Makhna - From ""Drive""",Yasser Desai,"Makhna (From ""Drive"")",2019-10-03,68,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Cheques,Shubh,Still Rollin,2023-05-19,75,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
West Coast,Lana Del Rey,Ultraviolence (Deluxe),2014-01-01,83,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Dramamine,Flawed Mangoes,Dramamine / Fragility,2024-04-10,55,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Kesariya (From ""Brahmastra"")",Pritam,"Kesariya (From ""Brahmastra"")",2022-07-17,72,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Doobey (From ""Gehraiyaan"")",Oaff,"Doobey (From ""Gehraiyaan"")",2022-01-24,56,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Ik Vaari Aa (From ""Raabta"")",Pritam,"Ik Vaari Aa (From ""Raabta"")",2017-04-21,64,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Kinni Kinni,Diljit Dosanjh,Ghost,2023-09-29,74,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Thehra,Chaar Diwaari,Thehra,2024-03-21,43,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Udd Gaye,Ritviz,Ved,2019-07-01,60,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Jiya,Shaheen Bhatt,Jigra,2024-10-15,42,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Congratulations,Post Malone,Stoney (Deluxe),2016-12-09,80,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
She Knows (Feat. Amber Coffman & Cults),J. Cole,Born Sinner (Deluxe Version),2013-06-18,76,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Wake Me Up (Feat. Justice),The Weeknd,Hurry Up Tomorrow,2025-01-31,80,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Ghost,Justin Bieber,Justice,2021-03-19,83,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Agora Hills,Doja Cat,Scarlet,2023-09-20,76,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
After Hours,The Weeknd,After Hours,2020-03-20,82,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"O Maahi (From ""Dunki"")",Pritam,"O Maahi (From ""Dunki"")",2023-12-11,71,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Lutt Putt Gaya (From ""Dunki"")",Pritam,"Lutt Putt Gaya (From ""Dunki"")",2023-11-22,66,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
Dil Jhoom,Mithoon,Gadar 2 (Original Motion Picture Soundtrack),2023-08-05,70,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:43
"Jaane Tu (From ""Chhaava"")",A.R. Rahman,"Jaane Tu (From ""Chhaava"")",2025-01-31,70,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Rang (From ""Sky Force"")",Tanishk Bagchi,"Rang (From ""Sky Force"")",2025-01-17,65,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Ahista Ahista,Kazinama,Ahista Ahista,2024-09-02,75,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Silsila - From ""Dhoom Dhaam""",Arijit Singh,"Silsila (From ""Dhoom Dhaam"")",2025-01-30,63,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Obsessed,Riar Saab,Obsessed,2022-09-29,66,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Maan Meri Jaan,King,Champagne Talk,2022-09-13,73,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Anti-Hero,Taylor Swift,Midnights (3am Edition),2022-10-22,60,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Can'T Feel My Face,The Weeknd,Beauty Behind The Madness,2015-08-28,81,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Stargirl Interlude,The Weeknd,Starboy,2016-11-25,74,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Double Fantasy (With Future),The Weeknd,Double Fantasy,2023-04-21,70,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Co2,Prateek Kuhad,The Way That Lovers Do (Deluxe),2023-05-19,45,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
The Hills,The Weeknd,Beauty Behind The Madness,2015-08-28,86,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Cardigan,Taylor Swift,folklore,2020-07-24,84,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Sweater Weather,The Neighbourhood,I Love You.,2013-04-22,90,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,86,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Kill Bill,Sza,SOS,2022-12-08,86,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
A&W,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023-03-24,69,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Ric Flair Drip (With Metro Boomin),Offset,Without Warning,2017-10-30,82,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Highest In The Room,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,85,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Moth To A Flame (With The Weeknd),Swedish House Mafia,Dawn FM (Alternate World),2022-01-07,59,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Paisaa,Kushal Grumpy,Paisaa,2023-10-17,56,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
We Fell In Love In October,Girl In Red,we fell in love in october / October Passed Me By,2018-11-21,83,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
All I Want For Christmas Is You,Mariah Carey,Merry Christmas,1994-10-28,75,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Angaaron (From ""Pushpa 2 The Rule"") [Hindi]",Shreya Ghoshal,"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",2024-05-29,67,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Peelings (From ""Pushpa 2 The Rule"") [Telugu]",Shankarr Babu Kandukoori,"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",2024-12-01,70,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Chuttamalle (From ""Devara Part 1"")",Shilpa Rao,"Chuttamalle (From ""Devara Part 1"")",2024-08-05,77,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Mumbai Hustle - From ""Call Me Bae""",Shravan Mantri,Call Me Bae (Original Series Soundtrack),2024-09-01,30,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Ruaan (From ""Tiger 3"")",Pritam,"Ruaan (From ""Tiger 3"")",2023-11-06,63,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Pasoori,Shae Gill,Pasoori,2022-02-07,69,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Hua Main (From ""Animal"")",Raghav Chaitanya,"Hua Main (From ""ANIMAL"")",2023-10-11,69,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Dil Se Dil Tak (From ""Bawaal"")",Akashdeep Sengupta,"Dil Se Dil Tak (From ""Bawaal"")",2023-07-14,71,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Choo Lo,The Local Train,Aalas Ka Pedh,2015-09-25,72,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Mahiye Jinna Sohna,Darshan Raval,Mahiye Jinna Sohna,2023-06-22,67,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Heeriye (Feat. Arijit Singh),Jasleen Royal,Heeriye (feat. Arijit Singh),2023-07-25,75,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Baaki Baatein Peene Baad (Shots) (Feat. Badshah),Arjun Kanungo,Baaki Baatein Peene Baad (Shots) (feat. Badshah),2015-09-25,58,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Ve Haaniyaan,Danny,Ve Haaniyaan,2024-01-19,73,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-12,64,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Satranga (From ""Animal"")",Arijit Singh,"Satranga (From ""ANIMAL"")",2023-10-27,78,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Pehle Bhi Main,Vishal Mishra,ANIMAL,2023-11-24,76,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Timi Nacha Na,Wangden Sherpa,Timi Nacha Na,2023-10-20,51,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Naina (From ""Crew"")",Diljit Dosanjh,"Naina (From ""Crew"")",2024-03-05,76,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Raghav,"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-29,68,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Tanishk Bagchi,"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-12,66,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-02-02,78,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Sher Khul Gaye (From ""Fighter"")",Vishal-Shekhar,"Sher Khul Gaye (From ""Fighter"")",2023-12-15,57,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Ishq Jaisa Kuch (From ""Fighter"")",Vishal-Shekhar,"Ishq Jaisa Kuch (From ""Fighter"")",2023-12-22,59,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Bujji Theme (From ""Kalki 2898 Ad"")",Santhosh Narayanan,"Bujji Theme (From ""Kalki 2898 AD"")",2024-05-27,50,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Theme Of Kalki (From ""Kalki 2898 Ad"") (Telugu)",Kala Bhairava,"Theme Of Kalki (From ""Kalki 2898 AD"") (Telugu)",2024-06-25,55,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Bhairava Anthem (From ""Kalki 2898 Ad"") (Hindi)",Diljit Dosanjh,"Bhairava Anthem (From ""Kalki 2898 Ad"") (Hindi)",2024-06-16,41,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Simroon Tera Naam (From ""Yaariyan 2"")",Manan Bhardwaj,"Simroon Tera Naam (From ""Yaariyan 2"")",2023-09-06,57,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Pasoori Nu,Arijit Singh,Satyaprem Ki Katha,2023-07-01,36,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Jalebi Baby,Tesher,Jalebi Baby,2020-11-13,68,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Dil Nu,Ap Dhillon,Two Hearts Never Break The Same,2022-10-07,73,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Not Ramaiya Vastavaiya,Anirudh Ravichander,Jawan,2023-09-05,53,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",2022-12-12,70,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Love Stereo Again,Edward Maya,Love Stereo Again,2023-07-21,47,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Naseeb Se,Payal Dev,Satyaprem Ki Katha,2023-07-01,38,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Paisa Hai Toh,Sachin-Jigar,Farzi (Original Series Soundtrack),2023-01-26,62,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Jhoome Jo Pathaan,Vishal-Shekhar,Pathaan,2022-12-22,66,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Shinunoga E-Wa,Fujii Kaze,HELP EVER HURT NEVER,2020-05-20,77,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Golden Hour,Jvke,this is what falling in love feels like (554Hz),2022-10-03,76,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Until I Found You (With Em Beihold) - Em Beihold Version,Stephen Sanchez,Until I Found You (Em Beihold Version),2022-04-22,80,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Call Out My Name,The Weeknd,"My Dear Melancholy,",2018-03-30,85,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Bones,Imagine Dragons,Mercury - Acts 1 & 2,2022-07-01,81,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Tum Tum (From ""Enemy"")",Thaman S,"Tum Tum (From ""Enemy - Tamil"")",2021-09-03,0,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Made You Look,Meghan Trainor,Takin' It Back,2022-10-21,78,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,81,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Demons,Imagine Dragons,Night Visions,2012-09-04,84,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Counting Stars,Onerepublic,Native,2013-01-01,87,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),2016-03-11,71,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Moonlight,Xxxtentacion,?,2018-03-16,82,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),2004-07-13,61,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Manike (From ""Thank God"")",Yohani,"Manike (From ""Thank God"")",2022-09-16,63,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Desperado,Raghav,Desperado,2023-04-12,22,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Jehda Nasha (From ""An Action Hero"")",Tanishk Bagchi,"Jehda Nasha (From ""An Action Hero"")",2022-11-17,57,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Munda Sona Hoon Main (From ""Shehzada"")",Pritam,"Munda Sona Hoon Main (From ""Shehzada"")",2023-01-16,51,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",Pritam,"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",2022-05-02,62,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",2021-07-30,70,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Ranjha,Jasleen Royal,Shershaah (Original Motion Picture Soundtrack),2021-08-16,54,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Rangisari (From ""Jugjugg Jeeyo"")",Kanishk Seth,"Rangisari (From ""Jugjugg Jeeyo"")",2022-06-06,60,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Rasiya (From ""Brahmastra"")",Pritam,"Rasiya (From ""Brahmastra"")",2022-09-24,59,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Deva Deva (From ""Brahmastra"")",Pritam,"Deva Deva (From ""Brahmastra"")",2022-08-08,68,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Naacho Naacho (From ""Rrr"")",Vishal Mishra,"Naacho Naacho (From ""RRR"")",2021-11-10,56,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Jugnu,Badshah,Jugnu,2021-10-26,66,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Srivalli (From ""Pushpa The Rise Part - 01"")",Javed Ali,"Srivalli (From ""Pushpa The Rise Part - 01"")",2021-12-14,57,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"The Punjaabban Song (From ""Jugjugg Jeeyo"")",Tanishk Bagchi,"The Punjaabban Song (From ""Jugjugg Jeeyo"")",2022-05-28,52,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")",Pritam,"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")",2022-05-09,63,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Paani Paani,Badshah,Paani Paani,2021-06-09,60,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Aafat (From ""Liger"")",Tanishk Bagchi,"Aafat (From ""Liger"")",2022-08-06,43,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"Shayad (From ""Love Aaj Kal"")",Pritam,"Shayad (From ""Love Aaj Kal"")",2020-01-22,63,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Bewafa,Imran Khan,Bewafa,2009-07-27,2,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
"De Taali (From ""Bhool Bhulaiyaa 2"")",Pritam,"De Taali (From ""Bhool Bhulaiyaa 2"")",2022-05-14,45,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
Maan Meri Jaan (Afterlife),King,Maan Meri Jaan (Afterlife),2023-03-10,54,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
In Da Getto,J Balvin,In Da Getto,2021-07-02,64,0,N/A,SPOTIFY,SPOTIFY,2025-03-24 17:34:44
